1,Agreement ID,Agreement Name,Trade Reference,Trade Date,Maturity Date,Exchanged Notional 1 Currency,Exchanged Notional 1 Amount,Exchanged Notional 2 Currency,Exchanged Notional 2 Amount,Product Type,Valuation Base Currency,Valuation Base Currency Amount,Valuation Date,Valuation Native Currency,Valuation Native Currency Amount,Effective Date,Buy/Sell,Put/Call,Strike Price,Underlying,Independent Amount Party A,Independent Amount Party B,Party A branch ID,Party A branch Name,Party B branch ID,Party B branch Name,ENTITYB_STATUS
21,BA-00001,BA-00001,B-1200015,14/01/2015,24/01/2020,EUR,704000000,EUR,704000000,Interest Rate - Swap Basis,USD,-10376.14689,27/09/2018,EUR,-9027.24788,16/01/2015,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
22,BA-00001,BA-00001,B-5200001,01/09/2014,29/04/2030,GBP,70000000,GBP,70000000,Interest Rate - Swaption,USD,-9144946.711,27/09/2018,GBP,-7144489.618,03/09/2014,Payer,Put,,,,,3645457,EntityB,983400120,EntityA,Active
23,BA-00001,BA-00001,B-5200002,21/12/2012,19/09/2028,EUR,13000000,GBP,11830000,Cross Currency - Swap,USD,1523243.539,27/09/2018,EUR,1313140.982,25/12/2012,Payer,,,EIB,,,3645457,EntityB,983400120,EntityA,Active
24,BA-00001,BA-00001,B-5200003,26/12/2016,29/10/2018,GBP,71000000,DKK,585040000,FX - Swap,USD,10023624.19,27/09/2018,GBP,7830956.4,28/12/2016,,,0.87,,,,3645457,EntityB,983400120,EntityA,Active
25,BA-00001,BA-00001,B-5200004,15/05/2006,25/09/2028,NOK,10000000,NOK,10000000,Interest Rate - Swaption,USD,52488.18833,27/09/2018,NOK,437401.5694,17/05/2006,Payer,Put,,,,,3645457,EntityB,983400120,EntityA,Active
26,BA-00001,BA-00001,B-5200005,06/11/2013,16/01/2023,USD,60000000,USD,60000000,Interest Rate - Swap Basis,USD,6046666.12,27/09/2018,USD,6046666.12,08/11/2013,Receiver,,,LIB,,,3645457,EntityB,983400120,EntityA,Active
27,BA-00001,BA-00001,B-5200006,04/08/2014,24/06/2024,GBP,13000000,DKK,107120000,Cross Currency - Swap,USD,-909685.8665,27/09/2018,GBP,-710692.0832,06/08/2014,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
28,BA-00001,BA-00001,B-5200007,16/07/2012,05/11/2018,NOK,93000000,NOK,93000000,Interest Rate - Swap Basis,USD,-437649.2949,27/09/2018,NOK,-3647077.457,18/07/2012,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
29,BA-00001,BA-00001,B-5200008,25/03/2014,24/05/2027,GBP,49000000,GBP,49000000,Interest Rate - Swaption,USD,-6323751.559,27/09/2018,GBP,-4940430.905,27/03/2014,Receiver,Put,,,,,3645457,EntityB,983400120,EntityA,Active
30,BA-00001,BA-00001,B-5200009,09/08/2017,08/07/2024,DKK,50000000,DKK,50000000,Interest Rate - Swap Basis,USD,-869090.1186,27/09/2018,DKK,-5431813.241,11/08/2017,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
31,BA-00001,BA-00001,B-5200010,02/06/2015,30/08/2023,DKK,2000000,CAD,400000,Cross Currency - Swap,USD,30968.43681,27/09/2018,DKK,193552.7301,04/06/2015,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
32,BA-00001,BA-00001,B-5200011,13/08/2007,24/07/2019,AUD,36000000,SEK,240840000,FX - Swap,USD,1477738.931,27/09/2018,AUD,2024299.905,15/08/2007,,,0.026,,,,3645457,EntityB,983400120,EntityA,Active
33,BA-00001,BA-00001,B-5200012,07/05/2018,04/06/2029,USD,85000000,USD,85000000,Interest Rate - Swaption,USD,9614386.484,27/09/2018,USD,9614386.484,09/05/2018,Receiver,Call,,LIB,,,3645457,EntityB,983400120,EntityA,Active
34,BA-00001,BA-00001,B-5200013,27/10/2010,19/08/2020,AUD,21000000,USD,15330000,FX - Swap,USD,-785857.5729,27/09/2018,AUD,-1076517.223,29/10/2010,,,0.09,,,,3645457,EntityB,983400120,EntityA,Active
35,BA-00001,BA-00001,B-5200014,16/09/2013,07/10/2019,JPY,22000000,JPY,22000000,Interest Rate - Swap Basis,USD,9405.32453,27/09/2018,JPY,1045036.059,18/09/2013,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
36,BA-00001,BA-00001,B-5200015,25/11/2016,17/04/2023,EUR,64000000,EUR,64000000,Interest Rate - Swap,USD,-5173001.003,27/09/2018,EUR,-4459483.623,29/11/2016,Receiver,,,EIB,,,3645457,EntityB,983400120,EntityA,Active
37,BA-00001,BA-00001,B-5200016,23/10/2009,20/02/2023,CAD,95000000,CAD,95000000,Interest Rate - Swaption,USD,-1948137.47,27/09/2018,CAD,-2530048.662,27/10/2009,Payer,Call,,,,,3645457,EntityB,983400120,EntityA,Active
38,BA-00001,BA-00001,B-5200017,05/01/2009,20/10/2022,NOK,83000000,NOK,83000000,Interest Rate - Swaption,USD,653212.3499,27/09/2018,NOK,5443436.249,07/01/2009,Receiver,Put,,,,,3645457,EntityB,983400120,EntityA,Active
39,BA-00001,BA-00001,B-5200018,13/10/2014,30/09/2025,AUD,33000000,USD,24090000,Cross Currency - Swap,USD,2684880.882,27/09/2018,AUD,3677919.016,15/10/2014,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
40,BA-00001,BA-00001,B-5200019,08/01/2018,01/11/2029,EUR,72000000,EUR,72000000,Interest Rate - Swaption,USD,-1060007.875,27/09/2018,EUR,-913799.8922,10/01/2018,Payer,Put,,EIB,,,3645457,EntityB,983400120,EntityA,Active
41,BA-00001,BA-00001,B-5200020,13/07/2009,31/12/2021,USD,28000000,USD,28000000,Interest Rate - Swaption,USD,-2952658.381,27/09/2018,USD,-2952658.381,15/07/2009,Receiver,Call,,LIB,,,3645457,EntityB,983400120,EntityA,Active
42,BA-00001,BA-00001,B-5200021,26/08/2008,15/01/2027,CAD,60000000,CAD,60000000,Interest Rate - Swap,USD,-5927578.197,27/09/2018,CAD,-7698153.503,28/08/2008,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
43,BA-00001,BA-00001,B-5200022,11/04/2011,01/10/2026,CHF,4000000,CHF,4000000,Interest Rate - Swap Basis,USD,192946.4187,27/09/2018,CHF,189163.1556,13/04/2011,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
44,BA-00001,BA-00001,B-5200023,27/04/2006,05/12/2024,USD,84000000,USD,84000000,Interest Rate - Swaption,USD,-8162972.66,27/09/2018,USD,-8162972.66,01/05/2006,Payer,Put,,LIB,,,3645457,EntityB,983400120,EntityA,Active
45,BA-00001,BA-00001,B-5200024,18/02/2015,25/11/2024,EUR,41000000,EUR,41000000,Interest Rate - Swap,USD,-5246427.908,27/09/2018,EUR,-4522782.679,20/02/2015,Payer,,,EIB,,,3645457,EntityB,983400120,EntityA,Active
46,BA-00001,BA-00001,B-5200025,18/01/2010,07/08/2030,CAD,85000000,CAD,85000000,Interest Rate - Swaption,USD,2989221.87,27/09/2018,CAD,3882106.325,20/01/2010,Payer,Put,,,,,3645457,EntityB,983400120,EntityA,Active
47,BA-00001,BA-00001,B-5200026,08/01/2016,08/01/2029,NOK,59000000,NOK,59000000,Interest Rate - Swaption,USD,693082.4089,27/09/2018,NOK,5775686.741,12/01/2016,Payer,Call,,,,,3645457,EntityB,983400120,EntityA,Active
48,BA-00001,BA-00001,B-5200027,24/05/2006,17/08/2026,NOK,79000000,NOK,79000000,Interest Rate - Swaption,USD,-487285.561,27/09/2018,NOK,-4060713.008,26/05/2006,Receiver,Call,,,,,3645457,EntityB,983400120,EntityA,Active
49,BA-00001,BA-00001,B-5200028,14/02/2014,28/03/2024,JPY,79000000,JPY,79000000,Interest Rate - Swap,USD,-17905.90406,27/09/2018,JPY,-1989544.895,18/02/2014,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
50,BA-00001,BA-00001,B-5200029,08/09/2009,06/06/2029,AUD,42000000,AUD,42000000,Interest Rate - Swaption,USD,2366046.915,27/09/2018,AUD,3241160.158,10/09/2009,Payer,Put,,,,,3645457,EntityB,983400120,EntityA,Active
51,BA-00001,BA-00001,B-5200030,29/05/2018,08/05/2029,USD,99000000,EUR,85140000,Cross Currency - Swap,USD,-2836473.638,27/09/2018,USD,-2836473.638,31/05/2018,Payer,,,LIB,,,3645457,EntityB,983400120,EntityA,Active
52,BA-00001,BA-00001,B-5200031,14/11/2012,29/05/2030,DKK,71000000,DKK,71000000,Interest Rate - Swap Basis,USD,-1013307.009,27/09/2018,DKK,-6333168.809,16/11/2012,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
53,BA-00001,BA-00001,B-5200032,25/01/2008,16/09/2019,GBP,41000000,DKK,337840000,FX - Swap,USD,2445616.437,27/09/2018,GBP,1910637.841,29/01/2008,,,0.058,,,,3645457,EntityB,983400120,EntityA,Active
54,BA-00001,BA-00001,B-5200033,28/05/2007,25/09/2020,CAD,48000000,CAD,48000000,Interest Rate - Swap,USD,3385483.649,27/09/2018,CAD,4396732.012,30/05/2007,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
55,BA-00001,BA-00001,B-5200034,18/03/2008,13/09/2027,AUD,63000000,AUD,63000000,Interest Rate - Swaption,USD,-6850508.235,27/09/2018,AUD,-9384257.857,20/03/2008,Payer,Call,,,,,3645457,EntityB,983400120,EntityA,Active
56,BA-00001,BA-00001,B-5200035,31/07/2015,19/01/2021,EUR,34000000,EUR,34000000,Interest Rate - Swaption,USD,2833067.231,27/09/2018,EUR,2442299.337,04/08/2015,Payer,Put,,EIB,,,3645457,EntityB,983400120,EntityA,Active
57,BA-00001,BA-00001,B-5200036,22/05/2006,04/09/2019,GBP,5000000,GBP,5000000,Interest Rate - Swaption,USD,-55726.63048,27/09/2018,GBP,-43536.43006,24/05/2006,Receiver,Call,,,,,3645457,EntityB,983400120,EntityA,Active
58,BA-00001,BA-00001,B-5200037,23/12/2008,08/01/2024,AUD,59000000,SEK,394710000,FX - Swap,USD,6108879.408,27/09/2018,AUD,8368327.956,25/12/2008,,,0.578,,,,3645457,EntityB,983400120,EntityA,Active
59,BA-00001,BA-00001,B-5200038,17/10/2016,10/05/2028,CHF,37000000,CHF,37000000,Interest Rate - Swap Basis,USD,2137024.582,27/09/2018,CHF,2095122.139,19/10/2016,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
60,BA-00001,BA-00001,B-5200039,05/05/2008,15/04/2021,AUD,62000000,AUD,62000000,Interest Rate - Swaption,USD,6475619.594,27/09/2018,AUD,8870711.772,07/05/2008,Payer,Call,,,,,3645457,EntityB,983400120,EntityA,Active
61,BA-00001,BA-00001,B-5200040,30/01/2006,31/12/2025,SEK,5000000,CHF,550000,Cross Currency - Swap,USD,75236.7076,27/09/2018,SEK,683970.0691,01/02/2006,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
62,BA-00001,BA-00001,B-5200041,11/05/2010,06/10/2025,GBP,15000000,DKK,123600000,Cross Currency - Swap,USD,534746.0384,27/09/2018,GBP,417770.3425,13/05/2010,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
63,BA-00001,BA-00001,B-5200042,29/02/2012,18/03/2019,CHF,88000000,CHF,88000000,Interest Rate - Swap Basis,USD,1419053.94,27/09/2018,CHF,1391229.353,02/03/2012,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
64,BA-00001,BA-00001,B-5200043,24/03/2008,08/05/2019,CAD,83000000,CAD,83000000,Interest Rate - Swap,USD,3986169.3,27/09/2018,CAD,5176843.246,26/03/2008,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
65,BA-00001,BA-00001,B-5200044,24/07/2017,08/06/2020,DKK,39000000,DKK,39000000,Interest Rate - Swap,USD,-675622.4357,27/09/2018,DKK,-4222640.223,26/07/2017,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
66,BA-00001,BA-00001,B-5200045,03/12/2012,20/11/2028,JPY,13000000,JPY,13000000,Interest Rate - Swap,USD,-12738.73521,27/09/2018,JPY,-1415415.024,05/12/2012,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
67,BA-00001,BA-00001,B-5200046,23/01/2006,26/09/2022,NOK,99000000,AUD,15840000,Cross Currency - Swap,USD,1344750.354,27/09/2018,NOK,11206252.95,25/01/2006,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
68,BA-00001,BA-00001,B-5200047,01/06/2016,08/10/2026,CAD,2000000,CAD,2000000,Interest Rate - Swaption,USD,-163499.3392,27/09/2018,CAD,-212336.8041,03/06/2016,Receiver,Call,,,,,3645457,EntityB,983400120,EntityA,Active
69,BA-00001,BA-00001,B-5200048,16/06/2014,12/03/2030,CHF,38000000,CHF,38000000,Interest Rate - Swap,USD,2414896.277,27/09/2018,CHF,2367545.37,18/06/2014,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
70,BA-00001,BA-00001,B-5200049,13/12/2010,27/03/2028,JPY,64000000,NOK,4800000,FX - Swap,USD,-2190.363829,27/09/2018,JPY,-243373.7588,15/12/2010,,,0.974,,,,3645457,EntityB,983400120,EntityA,Active
71,BA-00001,BA-00001,B-5200050,14/10/2010,11/02/2025,EUR,74000000,EUR,74000000,Interest Rate - Swap,USD,2449304.896,27/09/2018,EUR,2111469.738,18/10/2010,Payer,,,EIB,,,3645457,EntityB,983400120,EntityA,Active
72,BA-00001,BA-00001,B-5200051,29/05/2007,26/02/2029,EUR,5000000,EUR,5000000,Interest Rate - Swaption,USD,613381.2901,27/09/2018,EUR,528776.9742,31/05/2007,Receiver,Put,,EIB,,,3645457,EntityB,983400120,EntityA,Active
73,BA-00001,BA-00001,B-5200052,16/01/2013,15/08/2022,USD,18000000,EUR,15480000,FX - Swap,USD,-1841140.713,27/09/2018,USD,-1841140.713,18/01/2013,,,0.49,LIB,,,3645457,EntityB,983400120,EntityA,Active
74,BA-00001,BA-00001,B-5200053,07/06/2007,07/10/2024,AUD,17000000,USD,12410000,Cross Currency - Swap,USD,125789.7544,27/09/2018,AUD,172314.7321,11/06/2007,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
75,BA-00001,BA-00001,B-5200054,02/07/2008,20/08/2021,GBP,64000000,DKK,527360000,Cross Currency - Swap,USD,4031615.058,27/09/2018,GBP,3149699.264,04/07/2008,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
76,BA-00001,BA-00001,B-5200055,28/11/2007,13/05/2026,SEK,89000000,CHF,9790000,FX - Swap,USD,-726371.4803,27/09/2018,SEK,-6603377.094,30/11/2007,,,0.396,,,,3645457,EntityB,983400120,EntityA,Active
77,BA-00001,BA-00001,B-5200056,02/04/2008,23/10/2025,CAD,72000000,CAD,72000000,Interest Rate - Swaption,USD,6206184.578,27/09/2018,CAD,8059979.971,04/04/2008,Payer,Call,,,,,3645457,EntityB,983400120,EntityA,Active
78,BA-00001,BA-00001,B-5200057,14/03/2006,15/08/2022,EUR,83000000,EUR,83000000,Interest Rate - Swap Basis,USD,-306517.7062,27/09/2018,EUR,-264239.4019,16/03/2006,Receiver,,,EIB,,,3645457,EntityB,983400120,EntityA,Active
79,BA-00001,BA-00001,B-5200058,12/06/2013,11/03/2024,JPY,86000000,NOK,6450000,FX - Swap,USD,-112609.0729,27/09/2018,JPY,-12512119.21,14/06/2013,,,0.606,,,,3645457,EntityB,983400120,EntityA,Active
80,BA-00001,BA-00001,B-5200059,19/05/2014,05/10/2018,SEK,23000000,SEK,23000000,Interest Rate - Swaption,USD,-25638.71889,27/09/2018,SEK,-233079.2627,21/05/2014,Receiver,Put,,,,,3645457,EntityB,983400120,EntityA,Active
81,BA-00001,BA-00001,B-5200060,19/05/2008,19/06/2023,JPY,83000000,NOK,6225000,Cross Currency - Swap,USD,-51621.97863,27/09/2018,JPY,-5735775.403,21/05/2008,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
82,BA-00001,BA-00001,B-5200061,04/02/2015,22/06/2026,DKK,58000000,CAD,11600000,FX - Swap,USD,984485.0493,27/09/2018,DKK,6153031.558,06/02/2015,,,0.646,,,,3645457,EntityB,983400120,EntityA,Active
83,BA-00001,BA-00001,B-5200062,25/04/2018,19/05/2021,GBP,15000000,GBP,15000000,Interest Rate - Swap,USD,-1785698.661,27/09/2018,GBP,-1395077.079,27/04/2018,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
84,BA-00001,BA-00001,B-5200063,13/06/2017,30/11/2020,DKK,69000000,DKK,69000000,Interest Rate - Swap,USD,1305672.624,27/09/2018,DKK,8160453.899,15/06/2017,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
85,BA-00001,BA-00001,B-5200064,15/01/2015,04/05/2020,JPY,70000000,NOK,5250000,FX - Swap,USD,-79161.29232,27/09/2018,JPY,-8795699.147,19/01/2015,,,0.48,,,,3645457,EntityB,983400120,EntityA,Active
86,BA-00001,BA-00001,B-5200065,18/06/2007,20/07/2020,NOK,83000000,NOK,83000000,Interest Rate - Swap Basis,USD,-444989.1419,27/09/2018,NOK,-3708242.849,20/06/2007,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
87,BA-00001,BA-00001,B-5200066,11/04/2014,22/02/2021,JPY,36000000,JPY,36000000,Interest Rate - Swap,USD,28075.01831,27/09/2018,JPY,3119446.479,15/04/2014,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
88,BA-00001,BA-00001,B-5200067,17/04/2008,21/01/2021,JPY,51000000,NOK,3825000,FX - Swap,USD,-31102.99265,27/09/2018,JPY,-3455888.072,21/04/2008,,,0.08,,,,3645457,EntityB,983400120,EntityA,Active
89,BA-00001,BA-00001,B-5200068,03/02/2006,01/07/2030,CAD,37000000,CAD,37000000,Interest Rate - Swap Basis,USD,2007211.569,27/09/2018,CAD,2606768.272,07/02/2006,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
90,BA-00001,BA-00001,B-5200069,05/12/2013,18/08/2028,CAD,47000000,CAD,47000000,Interest Rate - Swaption,USD,-2326688.042,27/09/2018,CAD,-3021672.781,09/12/2013,Payer,Call,,,,,3645457,EntityB,983400120,EntityA,Active
91,BA-00001,BA-00001,B-5200070,03/07/2015,28/04/2026,AUD,57000000,SEK,381330000,FX - Swap,USD,-2967734.229,27/09/2018,AUD,-4065389.355,07/07/2015,,,0.554,,,,3645457,EntityB,983400120,EntityA,Active
92,BA-00001,BA-00001,B-5200071,07/10/2014,27/07/2023,USD,66000000,USD,66000000,Interest Rate - Swap Basis,USD,2151797.997,27/09/2018,USD,2151797.997,09/10/2014,Receiver,,,LIB,,,3645457,EntityB,983400120,EntityA,Active
93,BA-00001,BA-00001,B-5200072,19/03/2007,09/10/2028,EUR,93000000,EUR,93000000,Interest Rate - Swaption,USD,-1214437.103,27/09/2018,EUR,-1046928.537,21/03/2007,Receiver,Call,,EIB,,,3645457,EntityB,983400120,EntityA,Active
94,BA-00001,BA-00001,B-5200073,15/10/2012,08/08/2022,EUR,11000000,EUR,11000000,Interest Rate - Swap,USD,1765664.399,27/09/2018,EUR,1522124.482,17/10/2012,Receiver,,,EIB,,,3645457,EntityB,983400120,EntityA,Active
95,BA-00001,BA-00001,B-5200074,12/08/2016,17/08/2021,GBP,36000000,GBP,36000000,Interest Rate - Swaption,USD,-5386240.395,27/09/2018,GBP,-4208000.308,16/08/2016,Payer,Put,,,,,3645457,EntityB,983400120,EntityA,Active
96,BA-00001,BA-00001,B-5200075,10/12/2008,22/12/2021,NOK,61000000,NOK,61000000,Interest Rate - Swap Basis,USD,-1095393.231,27/09/2018,NOK,-9128276.929,12/12/2008,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
97,BA-00001,BA-00001,B-5200076,26/02/2014,27/01/2020,USD,7000000,USD,7000000,Interest Rate - Swap,USD,846250.2467,27/09/2018,USD,846250.2467,28/02/2014,Receiver,,,LIB,,,3645457,EntityB,983400120,EntityA,Active
98,BA-00001,BA-00001,B-5200077,20/12/2010,08/12/2028,EUR,31000000,EUR,31000000,Interest Rate - Swap,USD,3460038.157,27/09/2018,EUR,2982791.515,22/12/2010,Receiver,,,EIB,,,3645457,EntityB,983400120,EntityA,Active
99,BA-00001,BA-00001,B-5200078,25/07/2018,06/05/2030,GBP,24000000,GBP,24000000,Interest Rate - Swap Basis,USD,2861094.169,27/09/2018,GBP,2235229.819,27/07/2018,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
100,BA-00001,BA-00001,B-5200079,21/12/2015,11/06/2029,DKK,48000000,DKK,48000000,Interest Rate - Swaption,USD,670261.1545,27/09/2018,DKK,4189132.215,23/12/2015,Receiver,Put,,,,,3645457,EntityB,983400120,EntityA,Active
101,BA-00001,BA-00001,B-5200080,06/11/2015,03/04/2029,DKK,46000000,DKK,46000000,Interest Rate - Swap Basis,USD,148390.2772,27/09/2018,DKK,927439.2326,10/11/2015,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
102,BA-00001,BA-00001,B-5200081,07/09/2010,15/07/2026,SEK,16000000,CHF,1760000,Cross Currency - Swap,USD,-13659.66709,27/09/2018,SEK,-124178.7917,09/09/2010,Payer,,,,,,3645457,EntityB,983400120,EntityA,Active
103,BA-00001,BA-00001,B-5200082,01/04/2010,20/09/2027,JPY,60000000,NOK,4500000,FX - Swap,USD,-37047.22202,27/09/2018,JPY,-4116358.002,05/04/2010,,,0.476,,,,3645457,EntityB,983400120,EntityA,Active
104,BA-00001,BA-00001,B-5200083,04/10/2012,08/07/2025,CHF,92000000,JPY,10407960000,FX - Swap,USD,-624674.5506,27/09/2018,CHF,-612426.03,08/10/2012,,,0.834,,,,3645457,EntityB,983400120,EntityA,Active
105,BA-00001,BA-00001,B-5200084,19/07/2010,04/03/2019,NOK,16000000,AUD,2560000,Cross Currency - Swap,USD,-86007.19905,27/09/2018,NOK,-716726.6587,21/07/2010,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
106,BA-00001,BA-00001,B-5200085,05/02/2013,16/06/2026,CHF,93000000,JPY,10521090000,FX - Swap,USD,-11733701.87,27/09/2018,CHF,-11503629.29,07/02/2013,,,0.314,,,,3645457,EntityB,983400120,EntityA,Active
107,BA-00001,BA-00001,B-5200086,26/12/2016,25/03/2026,AUD,20000000,AUD,20000000,Interest Rate - Swap Basis,USD,-1280365.42,27/09/2018,AUD,-1753925.233,28/12/2016,Receiver,,,,,,3645457,EntityB,983400120,EntityA,Active
