UPSTREAM_FEED_ID,SHELF,MNEMONIC,EXTENSION,CSA_ID,VALUE_DATE,ENTITYAGROUP_TRADE_REF,DOD_ENTITYAGROUP_TRADE_REF,OPS_FILE_NUMBER,CE_MARGIN_AGREEMENT_ID,ENTITYAGROUP_ENTITY_NAME,ENTITYAGROUP_ENTITY_ACCOUNT,CLIENT_TRADE_REF,CLIENT_ENTITY_NAME,CLIENT_ACCOUNT,PRODUCT_NAME,TRADE_DATE,MATURITY_DATE,EFFECTIVE_DATE,STRATEGY_CODE,PAY_SIDE_NOTIONAL_CCY_CODE,PAY_SIDE_NOTIONAL,RECEIVE_SIDE_NOTIONAL_CCY_CODE,RECEIVE_SIDE_NOTIONAL,NOTIONAL_CCY_CODE,NOTIONAL,PV_VALUE_DATE,PV_CCY_CODE,PV,PV_USD,PREVIOUS_VALUE_DATE_PV,PV_AMOUNT_DIFFERENCE,PV_PERCENT_DIFFERENCE,INDEPENDENT_AMOUNT_CCY_CODE,INDEPENDENT_AMOUNT,STRIKE_RATE,STRIKE_PRICE_CCY_CODE,INTEREST_RATE,PAY_SIDE_ACCRUAL_RATE,RECEIVE_SIDE_ACCRUAL_RATE,UNDERLYER_ID,UNDERLYER_DESCRIPTION,ENTITYAGROUP_POSITION,PUT_CALL,PRODUCT_PROCESSOR_NAME,PRODUCT_PROCESSOR_ID,MIRROR_TRANSACTION_ID,STRATEGY_NAME,STRATEGY_CONTACT,LOCATION,SENIOR_CONTACT,STRUCTURE_TRADE_REF,SWAPSWIRE_ID,NOTIONAL_CCY_CODE2,NOTIONAL2,Start Date,End Date,UOM,Phys Fin,Commodity Product Name        ,Delivery Location,APAR,Fixed Price,Leg1 Annual Nominal,Leg2 Annual Nominal,Leg1 Fixed Float Ind,Leg2 Fixed Float Ind,Basic Amount Value USD,Trader Id,Trader,Sales Person,Confirmation Status,CPIdentifier,USI,ENTITYALegalEntityIdentifier,CPLegalEntityIdentifier,UniqueProductIdentifier,SourceSystemTradeID,SpotPrice,TerminationFee,TerminationFeeDate,CPNameSourceSystem,CPShortNameSourceSystem       ,CurrentNotional,CurrentNotionalCurrency,OriginalAggregatedQty,ExternalMatchID,GroupTradeID,PremiumAmount,PremiumDate,InitialNotional,InitialNotionalCurrency,TradedSpread,InitialPrice,Regulator,USPersonFlag,USIPrefix,UTI,UTIPrefix,NumberOfContracts,PTH FLAG
,,,,BA-00001,,A-800020,,,,EntityA,,,EntityB,,Interest Rate - Swap Basis,11/06/2013,01/16/2023,11/08/2013,,,,,,USD,60000000,09/27/2018,USD,-6046666.12,-6046666.12,,,,,,,,,,,,LIB,Payer,,,,,,,,,,,USD,60000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800021,,,,EntityA,,,EntityB,,Cross Currency - Swap,08/04/2014,06/24/2024,08/06/2014,,,,,,GBP,13000000,09/27/2018,GBP,710692.0832,909685.8665,,,,,,,,,,,,,Payer,,,,,,,,,,,DKK,107120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800022,,,,EntityA,,,EntityB,,Interest Rate - Swap Basis,07/16/2012,11/05/2018,07/18/2012,,,,,,NOK,93000000,09/27/2018,NOK,3647077.457,437649.2949,,,,,,,,,,,,,Receiver,,,,,,,,,,,NOK,93000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800023,,,,EntityA,,,EntityB,,Interest Rate - Swaption,03/25/2014,05/24/2027,03/27/2014,,,,,,GBP,49000000,09/27/2018,GBP,4940430.905,6323751.559,,,,,,,,,,,,,Payer,Put,,,,,,,,,,GBP,49000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800024,,,,EntityA,,,EntityB,,Interest Rate - Swap Basis,08/09/2017,07/08/2024,08/11/2017,,,,,,DKK,50000000,09/27/2018,DKK,5431813.241,869090.1186,,,,,,,,,,,,,Payer,,,,,,,,,,,DKK,50000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800025,,,,EntityA,,,EntityB,,Cross Currency - Swap,06/02/2015,08/30/2023,06/04/2015,,,,,,DKK,2000000,09/27/2018,DKK,-193552.7301,-30968.43681,,,,,,,,,,,,,Receiver,,,,,,,,,,,CAD,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800026,,,,EntityA,,,EntityB,,FX - Swap,08/13/2007,07/24/2019,08/15/2007,,,,,,AUD,36000000,09/27/2018,AUD,-2024299.905,-1477738.931,,,,,,0.026,,,,,,,,,,,,,,,,,,SEK,240840000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800027,,,,EntityA,,,EntityB,,Interest Rate - Swaption,05/07/2018,06/04/2029,05/09/2018,,,,,,USD,85000000,09/27/2018,USD,-9614386.484,-9614386.484,,,,,,,,,,,,LIB,Payer,Call,,,,,,,,,,USD,85000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800028,,,,EntityA,,,EntityB,,FX - Swap,10/27/2010,08/19/2020,10/29/2010,,,,,,AUD,21000000,09/27/2018,AUD,1076517.223,785857.5729,,,,,,0.09,,,,,,,,,,,,,,,,,,USD,15330000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800029,,,,EntityA,,,EntityB,,Interest Rate - Swap Basis,09/16/2013,10/07/2019,09/18/2013,,,,,,JPY,22000000,09/27/2018,JPY,-1045036.059,-9405.32453,,,,,,,,,,,,,Payer,,,,,,,,,,,JPY,22000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800030,,,,EntityA,,,EntityB,,Interest Rate - Swap,11/25/2016,04/17/2023,11/29/2016,,,,,,EUR,64000000,09/27/2018,EUR,4459483.623,5173001.003,,,,,,,,,,,,EIB,Payer,,,,,,,,,,,EUR,64000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800031,,,,EntityA,,,EntityB,,Interest Rate - Swaption,10/23/2009,02/20/2023,10/27/2009,,,,,,CAD,95000000,09/27/2018,CAD,2530048.662,1948137.47,,,,,,,,,,,,,Receiver,Call,,,,,,,,,,CAD,95000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800032,,,,EntityA,,,EntityB,,Interest Rate - Swaption,01/05/2009,10/20/2022,01/07/2009,,,,,,NOK,83000000,09/27/2018,NOK,-5443436.249,-653212.3499,,,,,,,,,,,,,Payer,Put,,,,,,,,,,NOK,83000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800033,,,,EntityA,,,EntityB,,Cross Currency - Swap,10/13/2014,09/30/2025,10/15/2014,,,,,,AUD,33000000,09/27/2018,AUD,-3677919.016,-2684880.882,,,,,,,,,,,,,Payer,,,,,,,,,,,USD,24090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800034,,,,EntityA,,,EntityB,,Interest Rate - Swaption,01/08/2018,11/01/2029,01/10/2018,,,,,,EUR,72000000,09/27/2018,EUR,913799.8922,1060007.875,,,,,,,,,,,,EIB,Receiver,Put,,,,,,,,,,EUR,72000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800035,,,,EntityA,,,EntityB,,Interest Rate - Swaption,07/13/2009,12/31/2021,07/15/2009,,,,,,USD,28000000,09/27/2018,USD,2952658.381,2952658.381,,,,,,,,,,,,LIB,Payer,Call,,,,,,,,,,USD,28000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800036,,,,EntityA,,,EntityB,,Interest Rate - Swap,08/26/2008,01/15/2027,08/28/2008,,,,,,CAD,60000000,09/27/2018,CAD,7698153.503,5927578.197,,,,,,,,,,,,,Payer,,,,,,,,,,,CAD,60000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800037,,,,EntityA,,,EntityB,,Interest Rate - Swap Basis,04/11/2011,10/01/2026,04/13/2011,,,,,,CHF,4000000,09/27/2018,CHF,-189163.1556,-192946.4187,,,,,,,,,,,,,Receiver,,,,,,,,,,,CHF,4000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800038,,,,EntityA,,,EntityB,,Interest Rate - Swaption,04/27/2006,12/05/2024,05/01/2006,,,,,,USD,84000000,09/27/2018,USD,8162972.66,8162972.66,,,,,,,,,,,,LIB,Receiver,Put,,,,,,,,,,USD,84000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800039,,,,EntityA,,,EntityB,,Interest Rate - Swap,02/18/2015,11/25/2024,02/20/2015,,,,,,EUR,41000000,09/27/2018,EUR,4522782.679,5246427.908,,,,,,,,,,,,EIB,Receiver,,,,,,,,,,,EUR,41000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800040,,,,EntityA,,,EntityB,,Interest Rate - Swaption,01/18/2010,08/07/2030,01/20/2010,,,,,,CAD,85000000,09/27/2018,CAD,-3882106.325,-2989221.87,,,,,,,,,,,,,Receiver,Put,,,,,,,,,,CAD,85000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800041,,,,EntityA,,,EntityB,,Interest Rate - Swaption,01/08/2016,01/08/2029,01/12/2016,,,,,,NOK,59000000,09/27/2018,NOK,-5775686.741,-693082.4089,,,,,,,,,,,,,Receiver,Call,,,,,,,,,,NOK,59000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800042,,,,EntityA,,,EntityB,,Interest Rate - Swaption,05/24/2006,08/17/2026,05/26/2006,,,,,,NOK,79000000,09/27/2018,NOK,4060713.008,487285.561,,,,,,,,,,,,,Payer,Call,,,,,,,,,,NOK,79000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800043,,,,EntityA,,,EntityB,,Interest Rate - Swap,02/14/2014,03/28/2024,02/18/2014,,,,,,JPY,79000000,09/27/2018,JPY,1989544.895,17905.90406,,,,,,,,,,,,,Receiver,,,,,,,,,,,JPY,79000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800044,,,,EntityA,,,EntityB,,Interest Rate - Swaption,09/08/2009,06/06/2029,09/10/2009,,,,,,AUD,42000000,09/27/2018,AUD,-3241160.158,-2366046.915,,,,,,,,,,,,,Receiver,Put,,,,,,,,,,AUD,42000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800045,,,,EntityA,,,EntityB,,Cross Currency - Swap,05/29/2018,05/08/2029,05/31/2018,,,,,,USD,99000000,09/27/2018,USD,2836473.638,2836473.638,,,,,,,,,,,,LIB,Receiver,,,,,,,,,,,EUR,85140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800046,,,,EntityA,,,EntityB,,Interest Rate - Swap Basis,11/14/2012,05/29/2030,11/16/2012,,,,,,DKK,71000000,09/27/2018,DKK,6333168.809,1013307.009,,,,,,,,,,,,,Receiver,,,,,,,,,,,DKK,71000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800047,,,,EntityA,,,EntityB,,FX - Swap,01/25/2008,09/16/2019,01/29/2008,,,,,,GBP,41000000,09/27/2018,GBP,-1910637.841,-2445616.437,,,,,,0.058,,,,,,,,,,,,,,,,,,DKK,337840000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800048,,,,EntityA,,,EntityB,,Interest Rate - Swap,05/28/2007,09/25/2020,05/30/2007,,,,,,CAD,48000000,09/27/2018,CAD,-4396732.012,-3385483.649,,,,,,,,,,,,,Payer,,,,,,,,,,,CAD,48000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800049,,,,EntityA,,,EntityB,,Interest Rate - Swaption,03/18/2008,09/13/2027,03/20/2008,,,,,,AUD,63000000,09/27/2018,AUD,9384257.857,6850508.235,,,,,,,,,,,,,Receiver,Call,,,,,,,,,,AUD,63000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800050,,,,EntityA,,,EntityB,,Interest Rate - Swaption,07/31/2015,01/19/2021,08/04/2015,,,,,,EUR,34000000,09/27/2018,EUR,-2442299.337,-2833067.231,,,,,,,,,,,,EIB,Receiver,Put,,,,,,,,,,EUR,34000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800051,,,,EntityA,,,EntityB,,Interest Rate - Swaption,05/22/2006,09/04/2019,05/24/2006,,,,,,GBP,5000000,09/27/2018,GBP,43536.43006,55726.63048,,,,,,,,,,,,,Payer,Call,,,,,,,,,,GBP,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800052,,,,EntityA,,,EntityB,,FX - Swap,12/23/2008,01/08/2024,12/25/2008,,,,,,AUD,59000000,09/27/2018,AUD,-8368327.956,-6108879.408,,,,,,0.578,,,,,,,,,,,,,,,,,,SEK,394710000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800053,,,,EntityA,,,EntityB,,Interest Rate - Swap Basis,10/17/2016,05/10/2028,10/19/2016,,,,,,CHF,37000000,09/27/2018,CHF,-2095122.139,-2137024.582,,,,,,,,,,,,,Payer,,,,,,,,,,,CHF,37000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800054,,,,EntityA,,,EntityB,,Interest Rate - Swaption,05/05/2008,04/15/2021,05/07/2008,,,,,,AUD,62000000,09/27/2018,AUD,-8870711.772,-6475619.594,,,,,,,,,,,,,Receiver,Call,,,,,,,,,,AUD,62000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800055,,,,EntityA,,,EntityB,,Cross Currency - Swap,01/30/2006,12/31/2025,02/01/2006,,,,,,SEK,5000000,09/27/2018,SEK,-683970.0691,-75236.7076,,,,,,,,,,,,,Payer,,,,,,,,,,,CHF,550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800056,,,,EntityA,,,EntityB,,Cross Currency - Swap,05/11/2010,10/06/2025,05/13/2010,,,,,,GBP,15000000,09/27/2018,GBP,-417770.3425,-534746.0384,,,,,,,,,,,,,Payer,,,,,,,,,,,DKK,123600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800057,,,,EntityA,,,EntityB,,Interest Rate - Swap Basis,02/29/2012,03/18/2019,03/02/2012,,,,,,CHF,88000000,09/27/2018,CHF,-1391229.353,-1419053.94,,,,,,,,,,,,,Payer,,,,,,,,,,,CHF,88000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BA-00001,,A-800058,,,,EntityA,,,EntityB,,Interest Rate - Swap,03/24/2008,05/08/2019,03/26/2008,,,,,,CAD,83000000,09/27/2018,CAD,-5176843.246,-3986169.3,,,,,,,,,,,,,Receiver,,,,,,,,,,,CAD,83000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
